P,R,F
6.904334425926208496e-01,3.882129375217482359e-01,4.969843682852110311e-01
9.894715547561645508e-01,3.367648153007030687e-01,5.025034947103300675e-01
2.984329983592033386e-01,1.297340875864028964e-01,1.808496450038864500e-01
7.373115241527558039e-01,4.513504607975483141e-01,5.599336066789453170e-01
8.455329338709512976e-01,4.055339055508375146e-01,5.481597979257781805e-01
9.810393651326496656e-01,3.823432118245741473e-01,5.502398932342039695e-01
6.653032998243967322e-01,3.984124308824539273e-01,4.983758297548486760e-01
9.602752725283304480e-01,2.414178403626595082e-01,3.858349190164390152e-01
7.536395788192749023e-01,2.420943525460798607e-01,3.664671457709065550e-01
8.422152519226074885e-01,7.673074454069137573e-01,8.030182295753862665e-01
6.323187947273254395e-01,1.440395078492916203e-01,2.346310658212941158e-01
9.814334511756896973e-01,1.906425818667880079e-01,3.192676955894803159e-01
1.922583281993865967e-01,1.600055841429691081e-02,2.954246669623009428e-02
8.460409045219421387e-01,4.800742231309413910e-01,6.125598321078576936e-01
8.645985325177509839e-01,2.153483976210866513e-01,3.448130706558037439e-01
9.586672782897949219e-01,2.603547514938726604e-01,4.094980646883644160e-01
2.169005721807479858e-01,8.478689468579321542e-02,1.219164068152209929e-01
9.802376031875610352e-01,1.517612239079816072e-01,2.628307641661803973e-01
4.782763570547103882e-01,2.817060540589254036e-01,3.545696408897923146e-01
8.819261491298675537e-01,4.976311866194009781e-01,6.362533034755130101e-01
6.776055097579956055e-01,2.008380831784701837e-01,3.098411618577511795e-01
9.892702500025430945e-01,3.504243038478307426e-01,5.175274284398240221e-01
9.975982109705606726e-01,4.160475646230307745e-01,5.872026971853185895e-01
9.040057063102722168e-01,3.208358533589578121e-01,4.735917718267961818e-01
4.808324575424194336e-01,2.382373678265139461e-01,3.186123377981732729e-01
5.390112996101379395e-01,3.117530865764076009e-01,3.950293150051437663e-01
9.863904118537902832e-01,3.690321393078193069e-01,5.371162868246002198e-01
7.183940410614013672e-01,3.252923497589441659e-01,4.478128444043540934e-01
9.592437744140625000e-01,3.816073890775442123e-01,5.460031988782781953e-01
2.158147394657135010e-01,6.396530350320972502e-02,9.868220166027967533e-02
8.821341395378112793e-01,4.361529180949384465e-01,5.837050085304970048e-01
2.767566442489624023e-01,1.432494941082867734e-01,1.887841422262712954e-01
6.623353481292725276e-01,4.288768549449741840e-01,5.206325593212585146e-01
9.446820815404255445e-01,4.535267989743839712e-01,6.128392495000311024e-01
8.308418095111846924e-01,3.613967871801419540e-01,5.036970979560001505e-01
7.357833385467529297e-01,3.469091238961978241e-01,4.715096155315170456e-01
8.461984395980834961e-01,2.019715371498023160e-01,3.261074126730062472e-01
9.944513440132141113e-01,3.063751650466160492e-01,4.684332499851667775e-01
1.683993712067604065e-01,8.407970289276404940e-02,1.121595454901849892e-01
8.839715123176574707e-01,3.300751491703770579e-01,4.806685575544334954e-01
9.702411890029907227e-01,1.533091604069340974e-01,2.647800557516519770e-01
7.597117424011230469e-01,3.513988608663732305e-01,4.805315331911957921e-01
9.168846607208251953e-01,3.859473340786420681e-01,5.432307340859715561e-01
7.257589697837829590e-01,3.895761919292536901e-01,5.070017074914202615e-01
7.868194580078125000e-01,4.452627978541634501e-01,5.686981232167052092e-01
2.765730321407318115e-01,1.920802696393086595e-01,2.267101176361133175e-01
9.835986793041229248e-01,5.224614169980797973e-01,6.824327409091055507e-01
8.725988467534382398e-01,4.345484364491242757e-01,5.801740467608115237e-01
3.500273525714874268e-01,1.544360848000416453e-01,2.143142590698889904e-01
8.459858894348144531e-01,4.269434213638305664e-01,5.674912298691762169e-01
8.675105912344796000e-01,6.060777295094270656e-01,7.136034427788445766e-01
9.873492717742919922e-01,4.145627934485673904e-01,5.839428625661919892e-01
