P,R,F
9.273676276206970215e-01,4.885626902892476475e-01,6.399710738679745825e-01
7.723559252917766571e-01,5.629185716311136956e-01,6.512121593844556466e-01
8.520811689751488505e-01,6.800715148448944758e-01,7.564208678092808613e-01
7.818582862615586215e-01,6.221862906501407497e-01,6.929431087055132332e-01
9.589745998382568359e-01,4.889055848831222462e-01,6.476337511479973719e-01
7.783358804881572723e-01,5.440024080730619938e-01,6.404058582254716914e-01
8.532804910625729766e-01,7.046128922984714604e-01,7.718531205933274464e-01
8.245563581585884094e-01,6.674241852192652757e-01,7.377158609125189503e-01
7.525094263255596161e-01,5.451620175724938289e-01,6.322703008176712158e-01
9.610927104949951172e-01,5.084115651391801771e-01,6.650278699947917982e-01
7.696991376578807831e-01,6.110446165714945588e-01,6.812567690491801997e-01
8.270182187358537940e-01,6.313008044447218081e-01,7.160261348572383167e-01
7.445871941745281219e-01,5.577804085754213270e-01,6.377863646327730507e-01
8.507942450898033915e-01,5.898475014028095043e-01,6.966879321606320730e-01
8.299247026443481445e-01,5.102440279521298638e-01,6.319564298232085431e-01
7.394122295081615448e-01,5.888145912564202167e-01,6.555758442480869030e-01
8.024102658033371860e-01,6.618497519010907437e-01,7.253835096548112427e-01
7.663909606635570526e-01,6.598623230885923840e-01,7.091482634376661265e-01
9.052420258522033691e-01,5.984292974632777762e-01,7.205342566093625445e-01
7.813332043588161469e-01,6.296188173334250626e-01,6.973193709049253508e-01
8.074593514204025935e-01,7.206334922085987360e-01,7.615797098410433952e-01
8.276753102739651258e-01,6.841349923208858153e-01,7.490908628768785382e-01
7.540883086621761322e-01,6.195991283722137588e-01,6.802602195612336144e-01
8.331599831581115723e-01,5.729794483841135211e-01,6.789988771484312124e-01
7.517041079699993134e-01,5.966914106955688579e-01,6.652875634801330706e-01
7.995642155408859697e-01,6.910290937410311640e-01,7.413452506628391836e-01
7.606544457376003265e-01,6.371196779642211983e-01,6.934280829679685398e-01
8.037123054265976618e-01,6.744143512476695745e-01,7.334082104622990927e-01
9.741741418838500977e-01,4.587227025321710672e-01,6.237375660968018654e-01
7.599577754735946655e-01,4.865219547787559273e-01,5.932485438778453135e-01
7.845916599035263062e-01,5.387939244648005666e-01,6.388662904221529271e-01
7.324442565441131592e-01,2.825429836096607361e-01,4.077824378174061959e-01
9.689166545867919922e-01,4.995031957732182226e-01,6.591806359541408922e-01
7.401025692621866492e-01,5.091738588759832096e-01,6.032946314641880470e-01
7.904808521270751953e-01,5.751688725480409436e-01,6.658515317270051748e-01
8.430289030075073242e-01,5.639787423554981638e-01,6.758319786739238610e-01
7.902821749448776245e-01,5.525013666565172787e-01,6.503385961680843153e-01
9.430807828903198242e-01,4.213575553323063438e-01,5.824729517307155602e-01
7.710345506668091486e-01,4.691221393714440913e-01,5.833285113786008669e-01
8.419509410858154741e-01,5.542850550786356800e-01,6.684841603214101147e-01
7.908416032791137917e-01,5.730412101077141385e-01,6.645509788648604754e-01
7.897961437702178955e-01,5.732614531695284787e-01,6.643294987708711075e-01
9.056944251060485840e-01,5.519523962568013697e-01,6.859003167122746936e-01
7.461923733353614807e-01,7.358819999946997203e-01,7.410013234855786779e-01
7.498299255967140198e-01,7.509418030579884107e-01,7.503854524487606481e-01
5.573565214872360229e-01,5.445268694788981678e-01,5.508670051973233450e-01
9.531754255294799805e-01,5.926782462077262448e-01,7.308923863359718665e-01
7.049043476581573486e-01,7.056754119694232941e-01,7.052896690705948712e-01
7.463831529021263123e-01,7.207066994638015034e-01,7.333202363795046086e-01
7.578297674655914973e-01,7.868524239613459148e-01,7.720684459105690012e-01
6.897588272889454419e-01,6.561002563207577465e-01,6.725086584399372347e-01
9.531754255294799805e-01,5.926782462077262448e-01,7.308923863359718665e-01
7.404128983616828918e-01,7.032473633686701087e-01,7.213517368039376043e-01
7.687343418598175937e-01,7.445769218298105008e-01,7.564628159461590506e-01
5.573565214872360229e-01,5.445268694788981678e-01,5.508670051973233450e-01
7.400724515318870544e-01,7.237960957945921425e-01,7.318437874797052434e-01
9.341514110565185547e-01,4.748455121210127250e-01,6.296360167790220341e-01
8.053392648696899858e-01,5.793811162990151198e-01,6.739243079325802910e-01
9.135091066360474521e-01,5.444024852053686025e-01,6.822315299410772749e-01
8.973679939905802039e-01,5.174482899971983851e-01,6.563983454867458045e-01
8.861050009727478027e-01,4.451226029182593913e-01,5.925738969640077514e-01
8.036863803863525391e-01,5.777287159792401372e-01,6.722276335508207135e-01
9.559484720230102539e-01,6.298476984780846388e-01,7.593686454383060669e-01
8.441210303987775054e-01,6.270816426046870173e-01,7.195919529142669191e-01
7.635506540536880493e-01,5.519221791941107957e-01,6.407134077713272369e-01
