P,R,F
7.392785958945751190e-01,5.890104746534711166e-01,6.556446880788584508e-01
7.792950682342052460e-01,5.780597604456402250e-01,6.637602945694996981e-01
7.882917493581772517e-01,6.736484507719676662e-01,7.264750167813797121e-01
7.075645873943964270e-01,5.469066757531393375e-01,6.169480445515793665e-01
7.396468631923198700e-01,5.647062798341115908e-01,6.404450063809769000e-01
7.776737324893474579e-01,5.777733570053464884e-01,6.629829619432104915e-01
7.767976634204387665e-01,6.258456939742679248e-01,6.931989805932531334e-01
7.767976634204387665e-01,6.258456939742679248e-01,6.931989805932531334e-01
7.113853047291437415e-01,6.126538790407635160e-01,6.583384718176814587e-01
7.396468631923198700e-01,5.647062798341115908e-01,6.404450063809769000e-01
8.532804910625729766e-01,7.046128922984714604e-01,7.718531205933274464e-01
8.532804910625729766e-01,7.046128922984714604e-01,7.718531205933274464e-01
7.735582254827022552e-01,6.963599654061071176e-01,7.329319175389287233e-01
7.735582254827022552e-01,6.963599654061071176e-01,7.329319175389287233e-01
8.122922629117965698e-01,7.315492435787500636e-01,7.698093204512953536e-01
7.024893909692764282e-01,6.490175549903611785e-01,6.746956769945655630e-01
7.700277976691722870e-01,6.819205962205200366e-01,7.233009342518392781e-01
7.772932015359401703e-01,6.738142225514637262e-01,7.218641509147580848e-01
7.735582254827022552e-01,6.963599654061071176e-01,7.329319175389287233e-01
7.681901566684246063e-01,6.781633081061116952e-01,7.203749160749169933e-01
9.745654761791229248e-01,6.450591990619563010e-01,7.762939588506391209e-01
7.724973522126674652e-01,6.870075939746385085e-01,7.272487135885247200e-01
8.074593514204025935e-01,7.206334922085987360e-01,7.615797098410433952e-01
8.074593514204025935e-01,7.206334922085987360e-01,7.615797098410433952e-01
7.885496318340301514e-01,5.456935727846956574e-01,6.450195353050839353e-01
7.913222461938858032e-01,5.525417320221384099e-01,6.507184828036713942e-01
8.360735376675922925e-01,5.863113042628653737e-01,6.892640470834270339e-01
7.275011340777078894e-01,5.342978351862630593e-01,6.161080972510341036e-01
7.894652783870697021e-01,5.732895919931269013e-01,6.642313114067158741e-01
7.932321429252624512e-01,5.746879900031000021e-01,6.665023415478075197e-01
7.894652783870697021e-01,5.732895919931269013e-01,6.642313114067158741e-01
7.833404093980789185e-01,5.037692323605590383e-01,6.131922004411135552e-01
7.913533598184585571e-01,5.332406530174138570e-01,6.371488596021702699e-01
7.894652783870697021e-01,5.732895919931269013e-01,6.642313114067158741e-01
7.904808521270751953e-01,5.751688725480409436e-01,6.658515317270051748e-01
7.904808521270751953e-01,5.751688725480409436e-01,6.658515317270051748e-01
7.191799953579902649e-01,7.402817526688941774e-01,7.295783231972901017e-01
7.498299255967140198e-01,7.509418030579884107e-01,7.503854524487606481e-01
7.727687180042267512e-01,7.827878506519855284e-01,7.777460183787231474e-01
7.461923733353614807e-01,7.358819999946997203e-01,7.410013234855786779e-01
7.315011247992515564e-01,7.195475546595377914e-01,7.254751036696029942e-01
7.439602538943290710e-01,6.622224364143151076e-01,7.007157396044736419e-01
7.191799953579902649e-01,7.402817526688941774e-01,7.295783231972901017e-01
7.169478759169578552e-01,6.777455737957587267e-01,6.967957720674431421e-01
7.169478759169578552e-01,6.777455737957587267e-01,6.967957720674431421e-01
7.998684942722320557e-01,7.442704122991133930e-01,7.710685243193943217e-01
7.463831529021263123e-01,7.207066994638015034e-01,7.333202363795046086e-01
7.463831529021263123e-01,7.207066994638015034e-01,7.333202363795046086e-01
7.795048803091049194e-01,6.075431192011544468e-01,6.828643660244336777e-01
7.854531854391098022e-01,5.774009154375755459e-01,6.655464998258645570e-01
8.192678093910217285e-01,6.381775386857264643e-01,7.174722740877372829e-01
7.831584364175796509e-01,5.771607653886983158e-01,6.645621439191544688e-01
8.318758964538575107e-01,5.800490530602859796e-01,6.835049216571733588e-01
7.902100533246994019e-01,5.802408289728743229e-01,6.691405614408054703e-01
7.831584364175796509e-01,5.771607653886983158e-01,6.645621439191544688e-01
7.854531854391098022e-01,5.774009154375755459e-01,6.655464998258645570e-01
9.548163016637165601e-01,5.724275987030882362e-01,7.157510370578717973e-01
7.854531854391098022e-01,5.774009154375755459e-01,6.655464998258645570e-01
9.559484720230102539e-01,6.298476984780846388e-01,7.593686454383060669e-01
9.559484720230102539e-01,6.298476984780846388e-01,7.593686454383060669e-01
7.282121181488037109e-01,6.802046901235977439e-01,7.033902112787815408e-01
7.783589661121368408e-01,7.226609985033670691e-01,7.494765971200532118e-01
8.138178348541260654e-01,7.586110453638764684e-01,7.852453057830666161e-01
9.642820358276367188e-01,6.356140360650088805e-01,7.661887637142902330e-01
7.306092182795206336e-01,6.874298925201097754e-01,7.083621496347562996e-01
6.457094550132751465e-01,7.175748480690850029e-01,6.797479631069007766e-01
9.333142638206481934e-01,7.238982470913065681e-01,8.153746790063611805e-01
7.779562771320343018e-01,7.194097095893489113e-01,7.475384166167869937e-01
9.746847748756408691e-01,6.294287803272405890e-01,7.649017702813608599e-01
7.586486041545867920e-01,7.101401773591835553e-01,7.335933676622846678e-01
8.084761023521424006e-01,7.999538423286542965e-01,8.041923947590282618e-01
8.084761023521424006e-01,7.999538423286542965e-01,8.041923947590282618e-01
7.077210433781147003e-01,4.256061864499416370e-01,5.315507232420975114e-01
7.654376961290836334e-01,4.784508780058887023e-01,5.888378515357699516e-01
8.248994857072831088e-01,5.426545632589194756e-01,6.546512300371328807e-01
7.925657518208026886e-01,5.281872855913307685e-01,6.339158665531096082e-01
8.380549579858780351e-01,5.284164061562882653e-01,6.481540714003340975e-01
7.265504337847232819e-01,4.380454813233680134e-01,5.465623403691770577e-01
7.360510081052780151e-01,4.960941420868039131e-01,5.927071065307377706e-01
7.358556129038333893e-01,4.745224521805842532e-01,5.769767644651100369e-01
7.208957721789677198e-01,4.520230435041917572e-01,5.556420387029863406e-01
7.472220398485660553e-01,5.163410534668300134e-01,6.106880095978521883e-01
7.829470373690128326e-01,4.735499662864539050e-01,5.901558731481688636e-01
7.829470373690128326e-01,4.735499662864539050e-01,5.901558731481688636e-01
7.901952614386875684e-01,5.034346770909097213e-01,6.150316785854922363e-01
8.542994558811187744e-01,5.237412092655345797e-01,6.493739138684255785e-01
7.304679850737253455e-01,4.818514510989189148e-01,5.806671873549895668e-01
7.865822836756706238e-01,5.269215808146530122e-01,6.310863508818210788e-01
7.948826372623444270e-01,5.017702914498470834e-01,6.151969948715229064e-01
7.788556143641471863e-01,5.361419598813410570e-01,6.350995374107437641e-01
8.147142777840296057e-01,5.259786843149750757e-01,6.392550062328505867e-01
7.345027506351471391e-01,5.471875577337211860e-01,6.271573774794859668e-01
7.739307656884193420e-01,5.522716316635961631e-01,6.445773399517525926e-01
7.948826372623444270e-01,5.017702914498470834e-01,6.151969948715229064e-01
8.170644700527192050e-01,5.684574589685157386e-01,6.704569342871904425e-01
8.170644700527192050e-01,5.684574589685157386e-01,6.704569342871904425e-01
7.638818882405757904e-01,6.955799089200728202e-01,7.281326517511936824e-01
7.723764292895793915e-01,6.426876223588411374e-01,7.015891193446324170e-01
8.153181761503219827e-01,6.532348494614119705e-01,7.253319924745018632e-01
7.088899761438369751e-01,6.066176430445856527e-01,6.537782985576363615e-01
7.723764292895793915e-01,6.426876223588411374e-01,7.015891193446324170e-01
7.723764292895793915e-01,6.426876223588411374e-01,7.015891193446324170e-01
7.638818882405757904e-01,6.955799089200728202e-01,7.281326517511936824e-01
7.619091980159282684e-01,6.574314171365931436e-01,7.058249985007160054e-01
7.554796896874904633e-01,6.234362211770715367e-01,6.831357868943422895e-01
7.723764292895793915e-01,6.426876223588411374e-01,7.015891193446324170e-01
7.634173892438411713e-01,6.941271066929386446e-01,7.271252508203206455e-01
7.634173892438411713e-01,6.941271066929386446e-01,7.271252508203206455e-01
8.233886182308197688e-01,7.022201222879392857e-01,7.579925846360002772e-01
8.254041612148285134e-01,7.029970076170053428e-01,7.592988899009313064e-01
8.511664122343063354e-01,7.373692511438248998e-01,7.901918155910969688e-01
7.074495057264963416e-01,5.330922715030275150e-01,6.080179981099576025e-01
8.557756493488947180e-01,6.971152306676985377e-01,7.683401929558367760e-01
8.220558345317841020e-01,6.632968995485220010e-01,7.341920525541983933e-01
8.233886182308197688e-01,7.022201222879392857e-01,7.579925846360002772e-01
8.478165914614994580e-01,6.602142148458205462e-01,7.423463273083092950e-01
8.991364538669586182e-01,5.482575974620140791e-01,6.811668066964732260e-01
8.214194476604461670e-01,6.365635354776639776e-01,7.172726619722313846e-01
7.997157275676727295e-01,6.243984857658008147e-01,7.012657898660039635e-01
7.997157275676727295e-01,6.243984857658008147e-01,7.012657898660039635e-01
8.256621385614076880e-01,7.407062205368887264e-01,7.808802808635466608e-01
8.049629057447115210e-01,7.215267426953344554e-01,7.609645620146696654e-01
8.287244290113449097e-01,7.351709159905325253e-01,7.791494482378807929e-01
8.049629256129264832e-01,7.075993022518958231e-01,7.531474659477690459e-01
8.256621385614076880e-01,7.407062205368887264e-01,7.808802808635466608e-01
8.049629057447115210e-01,7.215267426953344554e-01,7.609645620146696654e-01
8.049629057447115210e-01,7.215267426953344554e-01,7.609645620146696654e-01
8.256621385614076880e-01,7.407062205368887264e-01,7.808802808635466608e-01
8.049629256129264832e-01,7.075993022518958231e-01,7.531474659477690459e-01
8.256621385614076880e-01,7.407062205368887264e-01,7.808802808635466608e-01
7.944726273417472839e-01,7.059641566997516549e-01,7.476079023757661313e-01
7.944726273417472839e-01,7.059641566997516549e-01,7.476079023757661313e-01
8.059593141078948975e-01,6.842548415578644239e-01,7.401373294975929218e-01
8.091898739337921587e-01,6.832741446279245734e-01,7.409204001936564588e-01
8.389522085587183264e-01,7.424055382866283637e-01,7.877316404011693862e-01
9.845400750637054443e-01,7.076091804894907300e-01,8.234138843114470196e-01
8.192402064800262673e-01,6.465269832004760797e-01,7.227080848050886352e-01
8.184343039989472324e-01,6.506499034063569775e-01,7.249607587598948522e-01
8.192402064800262673e-01,6.465269832004760797e-01,7.227080848050886352e-01
8.030300915241241899e-01,6.939897218654895727e-01,7.445387494299039455e-01
9.860914200544357300e-01,7.100105387126577350e-01,8.255816187863047606e-01
8.030300915241241899e-01,6.939897218654895727e-01,7.445387494299039455e-01
8.326775779326756055e-01,6.581264312925010351e-01,7.351833230807230946e-01
8.326775779326756055e-01,6.581264312925010351e-01,7.351833230807230946e-01
7.253817717234293250e-01,6.501116721069111204e-01,6.856872472147661490e-01
7.939513511955738068e-01,7.120810913688996324e-01,7.507909241190914296e-01
8.124331235885620117e-01,7.252979783450855811e-01,7.663968054471894664e-01
7.297736605008442456e-01,6.416251049322240219e-01,6.828664474519394734e-01
9.619576533635456617e-01,6.672296040198382183e-01,7.879347462715523553e-01
7.770656347274780273e-01,6.974162129794849729e-01,7.350896493584255786e-01
7.898232638835906982e-01,7.112659994293661914e-01,7.484890431084294526e-01
7.939513511955738068e-01,7.120810913688996324e-01,7.507909241190914296e-01
9.421542286872863770e-01,6.558200590750750125e-01,7.733336470397762508e-01
7.340122510989506299e-01,5.967055645059137214e-01,6.582750895946669623e-01
7.907911181449890359e-01,5.821587476660223803e-01,6.706231283001128363e-01
7.907911181449890359e-01,5.821587476660223803e-01,6.706231283001128363e-01
7.644063197076320648e-01,6.855500856271157240e-01,7.228338948694006394e-01
6.949364890654881055e-01,5.907730052431862111e-01,6.386352747890682302e-01
8.016817539930344294e-01,7.129384233401372395e-01,7.547103019830241344e-01
7.036674569050470618e-01,6.605305879653156076e-01,6.814170138848391067e-01
7.754155658185482025e-01,6.760465496188992063e-01,7.223295905789801630e-01
7.660173438489437103e-01,6.878610261521497238e-01,7.248384556266316281e-01
7.756225578486919403e-01,6.981469209377583196e-01,7.348483034372784717e-01
7.720568142831325531e-01,6.847378529690124616e-01,7.257804236467964021e-01
7.744995467364788055e-01,6.934054033769356806e-01,7.317124594185319131e-01
7.720568142831325531e-01,6.847378529690124616e-01,7.257804236467964021e-01
7.994498223066330844e-01,6.853827619618112488e-01,7.380348910276053331e-01
7.994498223066330844e-01,6.853827619618112488e-01,7.380348910276053331e-01
8.669836123784382398e-01,6.000791543546845075e-01,7.092522620745707052e-01
7.701526880264282227e-01,6.286135866361505231e-01,6.922220706165518322e-01
8.010776400566101962e-01,6.548990682644002526e-01,7.206502646398798007e-01
7.213618159294128418e-01,5.991598786676630706e-01,6.546065238854413826e-01
7.530354410409927368e-01,6.592830463367349569e-01,7.030475123083936850e-01
7.568877488374710083e-01,6.663972437381744385e-01,7.087658652701980255e-01
7.720452994108200073e-01,6.153418468201861113e-01,6.848438543760242414e-01
7.480014562606811523e-01,6.616603013347176487e-01,7.021867001520839535e-01
9.517267346382141113e-01,6.163280615035224841e-01,7.481573920553566959e-01
7.656247317790985107e-01,5.790030482937308376e-01,6.593632232187818243e-01
7.679867893457412720e-01,6.292905498953426102e-01,6.917550516381123504e-01
7.679867893457412720e-01,6.292905498953426102e-01,6.917550516381123504e-01
7.881299406290054321e-01,5.625616737255236810e-01,6.565106258179150833e-01
7.908689528703689575e-01,5.615707072542935885e-01,6.567817408843773519e-01
8.977501061227586288e-01,6.693229904262031349e-01,7.668880118085186215e-01
8.403530478477478916e-01,5.865367452303569262e-01,6.908703726385801991e-01
7.859793752431869507e-01,5.555281723296739971e-01,6.509597155940740620e-01
7.935802489519119263e-01,5.604626136582072649e-01,6.569541818163053826e-01
7.869602739810943604e-01,4.448658064976940829e-01,5.684109510494721462e-01
7.910846322774887085e-01,5.619443350933431836e-01,6.571116190536019364e-01
7.937959283590316772e-01,5.608362414972569709e-01,6.572847373378631897e-01
7.910846322774887085e-01,5.619443350933431836e-01,6.571116190536019364e-01
8.021156311035156916e-01,5.739275796142051522e-01,6.691014920815566702e-01
8.021156311035156916e-01,5.739275796142051522e-01,6.691014920815566702e-01
8.175074209769566114e-01,5.910973340488862027e-01,6.861065254543942116e-01
8.149607837200165683e-01,5.508742650457914003e-01,6.573867366759654773e-01
7.637066900730133945e-01,5.935922573873961827e-01,6.679889923888997494e-01
7.336116507649421692e-01,5.631331656722055046e-01,6.371663044766804340e-01
8.286617249250411987e-01,5.946601352829864462e-01,6.924253849030831409e-01
7.624973133206367493e-01,5.325848011542921867e-01,6.271331762777035967e-01
7.335055544972419739e-01,5.700654652023661173e-01,6.415395537856409813e-01
7.924657166004180908e-01,5.582893935126670426e-01,6.550783350556987905e-01
9.513908624649047852e-01,6.152434444081955611e-01,7.472541468464152237e-01
7.924657166004180908e-01,5.582893935126670426e-01,6.550783350556987905e-01
7.590244064728418616e-01,6.066537519943886458e-01,6.743389739188134779e-01
7.590244064728418616e-01,6.066537519943886458e-01,6.743389739188134779e-01
8.114639595150947571e-01,5.722744907807866266e-01,6.711963870327726234e-01
8.128195181488990784e-01,6.030325586095862667e-01,6.923839598262665485e-01
8.469788491725922519e-01,6.178386616050650648e-01,7.144866506992803012e-01
6.369957178831100464e-01,5.138511407539385623e-01,5.688349824011463829e-01
8.065178915858268738e-01,6.119798497049087072e-01,6.959090363131589241e-01
8.065178915858268738e-01,6.119798497049087072e-01,6.959090363131589241e-01
8.145688697695732117e-01,5.967978656018546602e-01,6.888825571424017635e-01
8.054224923253059387e-01,5.954158708043054693e-01,6.846776148560903552e-01
9.592899878819782788e-01,6.040084706533940251e-01,7.412778734990305152e-01
8.051623329520225525e-01,5.818422923394299673e-01,6.755240594986863245e-01
8.221415698528290461e-01,5.433930566004656626e-01,6.543166492393798217e-01
8.221415698528290461e-01,5.433930566004656626e-01,6.543166492393798217e-01
7.872764505445957184e-01,6.758594007528934133e-01,7.273257498544468680e-01
7.872764505445957184e-01,6.758594007528934133e-01,7.273257498544468680e-01
8.148104101419448853e-01,6.575967087266371136e-01,7.278104500843125546e-01
5.856248810887336731e-01,5.980744719044449598e-01,5.917842070380284758e-01
7.891181893646717072e-01,6.766257427402377900e-01,7.285551988906155962e-01
7.872764505445957184e-01,6.758594007528934133e-01,7.273257498544468680e-01
7.872764505445957184e-01,6.758594007528934133e-01,7.273257498544468680e-01
7.909009791910648346e-01,6.673589517775270208e-01,7.238967994988224630e-01
9.736844301223754883e-01,5.796308020494648217e-01,7.266747605195343906e-01
7.882522381842136383e-01,6.795257815380686406e-01,7.298620240989948105e-01
7.775313593447208405e-01,6.680543335135450400e-01,7.186473920143406913e-01
7.775313593447208405e-01,6.680543335135450400e-01,7.186473920143406913e-01
7.911321371793746948e-01,6.826833926014981291e-01,7.329177369789154906e-01
7.859816700220108032e-01,6.722665108677189361e-01,7.246902987244473460e-01
8.235774636268615723e-01,7.121063158926317360e-01,7.637961946293746474e-01
7.309357325236002234e-01,6.361583796787565470e-01,6.802617129298128562e-01
7.926350682973861694e-01,6.844044148416842388e-01,7.345544195584561287e-01
7.911321371793746948e-01,6.826833926014981291e-01,7.329177369789154906e-01
7.911321371793746948e-01,6.826833926014981291e-01,7.329177369789154906e-01
7.926350682973861694e-01,6.844044148416842388e-01,7.345544195584561287e-01
9.625103473663330078e-01,6.455982470000951601e-01,7.728271525393818342e-01
7.859816700220108032e-01,6.722665108677189361e-01,7.246902987244473460e-01
7.909047603607177734e-01,6.472549213696334736e-01,7.119056457795031045e-01
7.909047603607177734e-01,6.472549213696334736e-01,7.119056457795031045e-01
7.697666436433792114e-01,6.543923955214651089e-01,7.074061591066487242e-01
7.692482769489288330e-01,6.497291533570540567e-01,7.044552239222361401e-01
8.049616575241089755e-01,6.705836512540516159e-01,7.316537475477620234e-01
9.832846721013386304e-01,6.151305535906239630e-01,7.568101641737420282e-01
7.704257220029830933e-01,6.126724671376378994e-01,6.825525932315034128e-01
7.692482769489288330e-01,6.497291533570540567e-01,7.044552239222361401e-01
7.692482769489288330e-01,6.497291533570540567e-01,7.044552239222361401e-01
7.668218612670898438e-01,6.512744194582889001e-01,7.043406986007911819e-01
9.661215543746948242e-01,5.273619816491478263e-01,6.822917898183783469e-01
7.668218612670898438e-01,6.512744194582889001e-01,7.043406986007911819e-01
