approach,dataset,eval_metric,corr_metric,value
trad,newsroom,rouge1,pearsonr,0.15594249486568784
trad,newsroom,rouge1,kendalltau,0.13788245334788404
trad,newsroom,rouge1,spearmanr,0.19422953722132658
trad,newsroom,rouge2,pearsonr,0.09906912440128854
trad,newsroom,rouge2,kendalltau,0.1736061319196385
trad,newsroom,rouge2,spearmanr,0.22242954647595403
trad,newsroom,rougeL,pearsonr,0.11404086626399206
trad,newsroom,rougeL,kendalltau,0.10839223608693188
trad,newsroom,rougeL,spearmanr,0.1527986179285339
trad,newsroom,rougeLsum,pearsonr,0.11404086626399206
trad,newsroom,rougeLsum,kendalltau,0.10839223608693188
trad,newsroom,rougeLsum,spearmanr,0.1527986179285339
trad,newsroom,bertscore,pearsonr,0.24541120828484178
trad,newsroom,bertscore,kendalltau,0.15771009090540875
trad,newsroom,bertscore,spearmanr,0.22072231494306593
trad,newsroom,bleurt,pearsonr,0.27532424304311137
trad,newsroom,bleurt,kendalltau,0.18443826168386956
trad,newsroom,bleurt,spearmanr,0.25724109388897687
trad,newsroom,bertscore-sentence,pearsonr,0.3950569363848006
trad,newsroom,bertscore-sentence,kendalltau,0.2638873451309672
trad,newsroom,bertscore-sentence,spearmanr,0.3654780641514826
trad,realsumm_abs,rouge1,pearsonr,0.5840501663551281
trad,realsumm_abs,rouge1,kendalltau,0.41054106736403634
trad,realsumm_abs,rouge1,spearmanr,0.5728265389879345
trad,realsumm_abs,rouge2,pearsonr,0.5655386668052393
trad,realsumm_abs,rouge2,kendalltau,0.4129394700887854
trad,realsumm_abs,rouge2,spearmanr,0.5758401967870274
trad,realsumm_abs,rougeL,pearsonr,0.5128340976719938
trad,realsumm_abs,rougeL,kendalltau,0.35970070962517414
trad,realsumm_abs,rougeL,spearmanr,0.5103572079605415
trad,realsumm_abs,rougeLsum,pearsonr,0.5128340976719938
trad,realsumm_abs,rougeLsum,kendalltau,0.35970070962517414
trad,realsumm_abs,rougeLsum,spearmanr,0.5103572079605415
trad,realsumm_abs,bertscore,pearsonr,0.4485387299573101
trad,realsumm_abs,bertscore,kendalltau,0.29818264860627125
trad,realsumm_abs,bertscore,spearmanr,0.426788121569247
trad,realsumm_abs,bleurt,pearsonr,0.563952586514187
trad,realsumm_abs,bleurt,kendalltau,0.3872695851067014
trad,realsumm_abs,bleurt,spearmanr,0.544854186997014
trad,realsumm_abs,bertscore-sentence,pearsonr,0.30134438094366467
trad,realsumm_abs,bertscore-sentence,kendalltau,0.20152579689330677
trad,realsumm_abs,bertscore-sentence,spearmanr,0.2935817793939491
trad,realsumm_ext,rouge1,pearsonr,0.2547127415815572
trad,realsumm_ext,rouge1,kendalltau,0.14861665986848718
trad,realsumm_ext,rouge1,spearmanr,0.20988246942755948
trad,realsumm_ext,rouge2,pearsonr,0.2971352930625117
trad,realsumm_ext,rouge2,kendalltau,0.19116419778764435
trad,realsumm_ext,rouge2,spearmanr,0.2712405237874062
trad,realsumm_ext,rougeL,pearsonr,0.24168161174441327
trad,realsumm_ext,rougeL,kendalltau,0.15966207551799702
trad,realsumm_ext,rougeL,spearmanr,0.2316855126892376
trad,realsumm_ext,rougeLsum,pearsonr,0.24168161174441327
trad,realsumm_ext,rougeLsum,kendalltau,0.15966207551799702
trad,realsumm_ext,rougeLsum,spearmanr,0.2316855126892376
trad,realsumm_ext,bertscore,pearsonr,0.2173538197936912
trad,realsumm_ext,bertscore,kendalltau,0.131976338110626
trad,realsumm_ext,bertscore,spearmanr,0.19006138926914687
trad,realsumm_ext,bleurt,pearsonr,0.27598957193708096
trad,realsumm_ext,bleurt,kendalltau,0.16132519703275214
trad,realsumm_ext,bleurt,spearmanr,0.2330385330499019
trad,realsumm_ext,bertscore-sentence,pearsonr,0.1803729132282912
trad,realsumm_ext,bertscore-sentence,kendalltau,0.11686020053780327
trad,realsumm_ext,bertscore-sentence,spearmanr,0.1677936767550086
new,newsroom,rouge1,pearsonr,0.35301906569089203
new,newsroom,rouge1,kendalltau,0.3623974921358623
new,newsroom,rouge1,spearmanr,0.4931065602901854
new,newsroom,rouge2,pearsonr,0.383044478348745
new,newsroom,rouge2,kendalltau,0.39786281705558957
new,newsroom,rouge2,spearmanr,0.5316462884744069
new,newsroom,rougeL,pearsonr,0.3682307190843051
new,newsroom,rougeL,kendalltau,0.3792736856542359
new,newsroom,rougeL,spearmanr,0.514666647351939
new,newsroom,rougeLsum,pearsonr,0.3682307190843051
new,newsroom,rougeLsum,kendalltau,0.3792736856542359
new,newsroom,rougeLsum,spearmanr,0.514666647351939
new,newsroom,bertscore,pearsonr,0.5975276928019416
new,newsroom,bertscore,kendalltau,0.4296411054226859
new,newsroom,bertscore,spearmanr,0.572623101261796
new,newsroom,bleurt,pearsonr,0.500418689833811
new,newsroom,bleurt,kendalltau,0.35941080436909734
new,newsroom,bleurt,spearmanr,0.4887551064348671
new,newsroom,bertscore-sentence,pearsonr,0.6060635102496172
new,newsroom,bertscore-sentence,kendalltau,0.4076748330975401
new,newsroom,bertscore-sentence,spearmanr,0.5492327860912533
new,realsumm_abs,rouge1,pearsonr,0.3233123444275029
new,realsumm_abs,rouge1,kendalltau,0.21543617665062453
new,realsumm_abs,rouge1,spearmanr,0.31698043204022797
new,realsumm_abs,rouge2,pearsonr,0.32411722841106394
new,realsumm_abs,rouge2,kendalltau,0.2173068213130148
new,realsumm_abs,rouge2,spearmanr,0.32019622910470497
new,realsumm_abs,rougeL,pearsonr,0.32676399139344814
new,realsumm_abs,rougeL,kendalltau,0.2174161106949151
new,realsumm_abs,rougeL,spearmanr,0.3200441891567805
new,realsumm_abs,rougeLsum,pearsonr,0.32676399139344814
new,realsumm_abs,rougeLsum,kendalltau,0.2174161106949151
new,realsumm_abs,rougeLsum,spearmanr,0.3200441891567805
new,realsumm_abs,bertscore,pearsonr,0.1843464988148289
new,realsumm_abs,bertscore,kendalltau,0.12601846722602164
new,realsumm_abs,bertscore,spearmanr,0.18643893251659446
new,realsumm_abs,bleurt,pearsonr,0.23286948740253804
new,realsumm_abs,bleurt,kendalltau,0.1517981417498496
new,realsumm_abs,bleurt,spearmanr,0.22489503658025942
new,realsumm_abs,bertscore-sentence,pearsonr,0.26269740043661566
new,realsumm_abs,bertscore-sentence,kendalltau,0.1726991823066133
new,realsumm_abs,bertscore-sentence,spearmanr,0.25188143950668057
new,realsumm_ext,rouge1,pearsonr,0.17056769992946544
new,realsumm_ext,rouge1,kendalltau,0.11668324576907085
new,realsumm_ext,rouge1,spearmanr,0.1707065957005945
new,realsumm_ext,rouge2,pearsonr,0.16979206605718555
new,realsumm_ext,rouge2,kendalltau,0.119155874680575
new,realsumm_ext,rouge2,spearmanr,0.1740230088329624
new,realsumm_ext,rougeL,pearsonr,0.17064807216820463
new,realsumm_ext,rougeL,kendalltau,0.11848948672705939
new,realsumm_ext,rougeL,spearmanr,0.17271776887656132
new,realsumm_ext,rougeLsum,pearsonr,0.17064807216820463
new,realsumm_ext,rougeLsum,kendalltau,0.11848948672705939
new,realsumm_ext,rougeLsum,spearmanr,0.17271776887656132
new,realsumm_ext,bertscore,pearsonr,0.06441269536095717
new,realsumm_ext,bertscore,kendalltau,0.03716705089203253
new,realsumm_ext,bertscore,spearmanr,0.05413504774692588
new,realsumm_ext,bleurt,pearsonr,0.060340399628791466
new,realsumm_ext,bleurt,kendalltau,0.02998768175674908
new,realsumm_ext,bleurt,spearmanr,0.043881550693140134
new,realsumm_ext,bertscore-sentence,pearsonr,0.12019553217313887
new,realsumm_ext,bertscore-sentence,kendalltau,0.08366103280702623
new,realsumm_ext,bertscore-sentence,spearmanr,0.123095355213393
