,consistency,relevance,coherence,fluency
bertscore_precision,0.38,0.566,0.529,0.278
bertscore_recall,0.107,0.339,0.272,0.299
bertscore_f1,0.24,0.484,0.421,0.328
bertscore-topk-5_precision,0.313,0.556,0.519,0.228
bertscore-topk-5_recall,0.167,0.418,0.378,0.16
bertscore-topk-5_f1,0.256,0.532,0.489,0.21
bertscore-topk-10_precision,0.39,0.582,0.546,0.269
bertscore-topk-10_recall,0.102,0.386,0.338,0.281
bertscore-topk-10_f1,0.24,0.515,0.467,0.305
bertscore-topk-20_precision,0.376,0.567,0.531,0.276
bertscore-topk-20_recall,0.101,0.341,0.27,0.296
bertscore-topk-20_f1,0.235,0.486,0.42,0.326
bertscore-topp-0.2_precision,0.265,0.461,0.421,0.189
bertscore-topp-0.2_recall,0.336,0.484,0.388,0.248
bertscore-topp-0.2_f1,0.36,0.568,0.486,0.261
bertscore-topp-0.5_precision,0.348,0.566,0.523,0.26
bertscore-topp-0.5_recall,0.187,0.333,0.279,0.311
bertscore-topp-0.5_f1,0.289,0.493,0.434,0.333
bertscore-topp-0.7_precision,0.377,0.568,0.537,0.286
bertscore-topp-0.7_recall,0.11,0.292,0.237,0.33
bertscore-topp-0.7_f1,0.235,0.449,0.395,0.357
bertscore-sentence-cos-mpnet_P,0.379,0.331,0.369,0.261
bertscore-sentence-cos-mpnet_R,0.122,0.17,0.112,0.182
bertscore-sentence-cos-mpnet_F,0.211,0.245,0.208,0.226
bertscore-sentence-cos-mpnet-topk-5_P,0.29,0.424,0.415,0.302
bertscore-sentence-cos-mpnet-topk-5_R,0.139,0.458,0.397,0.179
bertscore-sentence-cos-mpnet-topk-5_F,0.214,0.479,0.432,0.248
bertscore-sentence-cos-mpnet-topk-10_P,0.383,0.369,0.375,0.269
bertscore-sentence-cos-mpnet-topk-10_R,0.187,0.293,0.207,0.175
bertscore-sentence-cos-mpnet-topk-10_F,0.277,0.358,0.289,0.228
bertscore-sentence-cos-mpnet-topk-20_P,0.376,0.329,0.369,0.258
bertscore-sentence-cos-mpnet-topk-20_R,0.119,0.18,0.12,0.167
bertscore-sentence-cos-mpnet-topk-20_F,0.21,0.255,0.216,0.215
bertscore-sentence-cos-mpnet-topp-0.2_P,0.205,0.37,0.358,0.176
bertscore-sentence-cos-mpnet-topp-0.2_R,0.225,0.424,0.343,0.215
bertscore-sentence-cos-mpnet-topp-0.2_F,0.247,0.462,0.4,0.218
bertscore-sentence-cos-mpnet-topp-0.5_P,0.293,0.408,0.399,0.19
bertscore-sentence-cos-mpnet-topp-0.5_R,0.152,0.27,0.206,0.189
bertscore-sentence-cos-mpnet-topp-0.5_F,0.238,0.38,0.315,0.231
bertscore-sentence-cos-mpnet-topp-0.7_P,0.36,0.361,0.397,0.248
bertscore-sentence-cos-mpnet-topp-0.7_R,0.175,0.236,0.212,0.167
bertscore-sentence-cos-mpnet-topp-0.7_F,0.263,0.321,0.306,0.224
bertscore-sentence-cos-roberta_P,0.387,0.367,0.421,0.259
bertscore-sentence-cos-roberta_R,0.156,0.213,0.151,0.203
bertscore-sentence-cos-roberta_F,0.245,0.292,0.257,0.242
bertscore-sentence-cos-roberta-topk-5_P,0.322,0.482,0.478,0.306
bertscore-sentence-cos-roberta-topk-5_R,0.176,0.504,0.435,0.206
bertscore-sentence-cos-roberta-topk-5_F,0.254,0.54,0.49,0.269
bertscore-sentence-cos-roberta-topk-10_P,0.4,0.423,0.437,0.265
bertscore-sentence-cos-roberta-topk-10_R,0.209,0.337,0.242,0.203
bertscore-sentence-cos-roberta-topk-10_F,0.3,0.408,0.336,0.245
bertscore-sentence-cos-roberta-topk-20_P,0.386,0.366,0.422,0.257
bertscore-sentence-cos-roberta-topk-20_R,0.159,0.226,0.161,0.188
bertscore-sentence-cos-roberta-topk-20_F,0.248,0.305,0.267,0.23
bertscore-sentence-cos-roberta-topp-0.2_P,0.229,0.412,0.399,0.167
bertscore-sentence-cos-roberta-topp-0.2_R,0.266,0.495,0.412,0.242
bertscore-sentence-cos-roberta-topp-0.2_F,0.285,0.525,0.463,0.227
bertscore-sentence-cos-roberta-topp-0.5_P,0.321,0.456,0.461,0.207
bertscore-sentence-cos-roberta-topp-0.5_R,0.188,0.324,0.241,0.205
bertscore-sentence-cos-roberta-topp-0.5_F,0.285,0.45,0.377,0.25
bertscore-sentence-cos-roberta-topp-0.7_P,0.372,0.383,0.439,0.246
bertscore-sentence-cos-roberta-topp-0.7_R,0.212,0.289,0.248,0.2
bertscore-sentence-cos-roberta-topp-0.7_F,0.304,0.378,0.358,0.252
rouge_rouge1,0.126,0.234,0.188,0.227
rouge_rouge2,0.175,0.267,0.233,0.237
rouge_rougeL,0.161,0.266,0.235,0.222
rouge_rougeLsum,0.161,0.266,0.235,0.222
rouge-topk-5_rouge1,0.231,0.432,0.432,0.142
rouge-topk-5_rouge2,0.262,0.455,0.461,0.152
rouge-topk-5_rougeL,0.249,0.474,0.476,0.125
rouge-topk-5_rougeLsum,0.249,0.474,0.476,0.125
rouge-topk-10_rouge1,0.138,0.375,0.349,0.244
rouge-topk-10_rouge2,0.21,0.415,0.399,0.254
rouge-topk-10_rougeL,0.183,0.407,0.396,0.234
rouge-topk-10_rougeLsum,0.183,0.407,0.396,0.234
rouge-topk-20_rouge1,0.118,0.239,0.195,0.229
rouge-topk-20_rouge2,0.168,0.271,0.24,0.239
rouge-topk-20_rougeL,0.153,0.272,0.243,0.224
rouge-topk-20_rougeLsum,0.153,0.272,0.243,0.224
rouge-topp-0.2_rouge1,0.298,0.389,0.322,0.19
rouge-topp-0.2_rouge2,0.302,0.413,0.356,0.178
rouge-topp-0.2_rougeL,0.286,0.408,0.345,0.178
rouge-topp-0.2_rougeLsum,0.286,0.408,0.345,0.178
rouge-topp-0.5_rouge1,0.209,0.298,0.261,0.254
rouge-topp-0.5_rouge2,0.263,0.374,0.342,0.276
rouge-topp-0.5_rougeL,0.246,0.361,0.339,0.246
rouge-topp-0.5_rougeLsum,0.246,0.361,0.339,0.246
rouge-topp-0.7_rouge1,0.146,0.244,0.194,0.298
rouge-topp-0.7_rouge2,0.207,0.297,0.264,0.305
rouge-topp-0.7_rougeL,0.186,0.295,0.263,0.288
rouge-topp-0.7_rougeLsum,0.186,0.295,0.263,0.288
bleurt_scores,0.362,0.547,0.401,0.328
bleurt-topk-5_scores,0.272,0.557,0.414,0.26
bleurt-topk-10_scores,0.358,0.62,0.463,0.268
bleurt-topk-20_scores,0.362,0.545,0.398,0.327
bleurt-topp-0.2_scores,0.375,0.657,0.497,0.309
bleurt-topp-0.5_scores,0.284,0.58,0.458,0.32
bleurt-topp-0.7_scores,0.387,0.561,0.447,0.32
bertscore-anyref-pegasus-large_precision,0.229,0.255,0.161,0.146
bertscore-anyref-pegasus-large_recall,0.041,0.133,0.117,0.177
bertscore-anyref-pegasus-large_f1,0.144,0.222,0.162,0.195
rouge-anyref-pegasus-large_rouge1,0.092,0.182,0.063,0.134
rouge-anyref-pegasus-large_rouge2,0.095,0.074,0.004,0.055
rouge-anyref-pegasus-large_rougeL,0.11,0.09,-0.001,0.068
rouge-anyref-pegasus-large_rougeLsum,0.11,0.09,-0.001,0.068
bleurt-anyref-pegasus-large_scores,0.164,0.198,0.122,0.153
bertscore-sentence-mnli-roberta-not_neutral_P,0.198,-0.022,0.032,0.059
bertscore-sentence-mnli-roberta-not_neutral_R,-0.3,-0.371,-0.307,-0.183
bertscore-sentence-mnli-roberta-not_neutral_F,-0.248,-0.35,-0.288,-0.167
bertscore-sentence-mnli-roberta-entail_only_P,0.353,0.169,0.204,0.09
bertscore-sentence-mnli-roberta-entail_only_R,0.053,0.052,0.004,0.013
bertscore-sentence-mnli-roberta-entail_only_F,0.102,0.08,0.034,0.02
bertscore-sentence-mnli-roberta-entail_contradict_P,0.389,0.205,0.236,0.119
bertscore-sentence-mnli-roberta-entail_contradict_R,0.18,0.215,0.14,0.108
bertscore-sentence-mnli-roberta-entail_contradict_F,0.252,0.265,0.205,0.157
bertscore-sentence-mnli-bart-not_neutral_P,0.185,-0.119,-0.053,0.168
bertscore-sentence-mnli-bart-not_neutral_R,-0.122,-0.293,-0.207,-0.123
bertscore-sentence-mnli-bart-not_neutral_F,-0.082,-0.284,-0.198,-0.095
bertscore-sentence-mnli-bart-entail_only_P,0.322,0.185,0.151,0.173
bertscore-sentence-mnli-bart-entail_only_R,0.092,0.054,0.007,0.134
bertscore-sentence-mnli-bart-entail_only_F,0.128,0.076,0.027,0.15
bertscore-sentence-mnli-bart-entail_contradict_P,0.351,0.234,0.193,0.217
bertscore-sentence-mnli-bart-entail_contradict_R,0.149,0.18,0.103,0.233
bertscore-sentence-mnli-bart-entail_contradict_F,0.186,0.221,0.134,0.294
bertscore-sentence-mnli-deberta-xlarge-not_neutral_P,0.172,-0.033,-0.024,0.14
bertscore-sentence-mnli-deberta-xlarge-not_neutral_R,-0.214,-0.366,-0.319,-0.073
bertscore-sentence-mnli-deberta-xlarge-not_neutral_F,-0.186,-0.352,-0.306,-0.066
bertscore-sentence-mnli-deberta-xlarge-entail_only_P,0.294,0.211,0.191,0.146
bertscore-sentence-mnli-deberta-xlarge-entail_only_R,0.076,0.037,-0.005,0.138
bertscore-sentence-mnli-deberta-xlarge-entail_only_F,0.103,0.058,0.017,0.145
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_P,0.334,0.254,0.231,0.162
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_R,0.155,0.17,0.099,0.196
bertscore-sentence-mnli-deberta-xlarge-entail_contradict_F,0.197,0.212,0.169,0.191
bertscore-anyref-bart-default_precision,0.401,0.548,0.443,0.254
bertscore-anyref-bart-default_recall,0.266,0.551,0.466,0.229
bertscore-anyref-bart-default_f1,0.349,0.578,0.478,0.254
bertscore-anyref-bart-min-0.2-0.5_precision,0.433,0.584,0.465,0.275
bertscore-anyref-bart-min-0.2-0.5_recall,0.289,0.408,0.404,0.289
bertscore-anyref-bart-min-0.2-0.5_f1,0.396,0.547,0.476,0.307
bertscore-anyref-bart-min-0.5-0.7_precision,0.433,0.584,0.465,0.275
bertscore-anyref-bart-min-0.5-0.7_recall,0.289,0.408,0.404,0.289
bertscore-anyref-bart-min-0.5-0.7_f1,0.396,0.547,0.476,0.307
bertscore-anyref-bart-mean-0.2-0.5_precision,0.433,0.584,0.465,0.275
bertscore-anyref-bart-mean-0.2-0.5_recall,0.289,0.408,0.404,0.289
bertscore-anyref-bart-mean-0.2-0.5_f1,0.396,0.547,0.476,0.307
bertscore-anyref-bart-mean-0.5-0.7_precision,0.433,0.584,0.465,0.275
bertscore-anyref-bart-mean-0.5-0.7_recall,0.289,0.408,0.404,0.289
